Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"318Álvaro TejeroEspanyol, 29, D(R)","Álvaro Tejero Espanyol, 29, D(R)",13(15),1235,1,4,2,-,0.6,79.6,0.4,1,6.45
"319Donny van de BeekGirona, 29, M(C)","Donny van de Beek Girona, 29, M(C)",16(10),1426,2,2,5,-,0.7,83.7,0.4,-,6.45
"320Manu SánchezDeportivo Alaves, 25, D(L),M(L)","Manu Sánchez Deportivo Alaves, 25, D(L),M(L)",30(3),2641,1,-,6,1,0.4,73.1,0.3,1,6.45
"321Williot SwedbergCelta Vigo, 22, AM(CL)","Williot Swedberg Celta Vigo, 22, AM(CL)",15(17),1351,4,5,1,-,1,76.3,0.3,1,6.44
"322Romain PerraudReal Betis, 28, D(L),M(L)","Romain Perraud Real Betis, 28, D(L),M(L)",22(6),1999,2,2,8,1,0.7,83.1,0.3,1,6.44
"323Carlos MartínDeportivo Alaves, 24, AM(LR)","Carlos Martín Deportivo Alaves, 24, AM(LR)",16(10),1336,2,2,3,-,1,68.3,0.6,-,6.44
"324Iago ParenteReal Valladolid, 20, Defender","Iago Parente Real Valladolid, 20, Defender",1,72,-,-,-,-,-,75.0,-,-,6.44
"325Andy PelmardLas Palmas, 26, D(CR)","Andy Pelmard Las Palmas, 26, D(CR)",2(2),205,-,-,1,-,0.3,88.8,0.3,-,6.44
"326Cenk ÖzkacarReal Valladolid, 25, D(CL)","Cenk Özkacar Real Valladolid, 25, D(CL)",8(3),756,-,-,1,-,0.2,84.7,1.1,-,6.44
"327Pedro DíazRayo Vallecano, 27, M(C)","Pedro Díaz Rayo Vallecano, 27, M(C)",12(14),1207,3,-,2,-,1.2,84.2,0.2,-,6.44
"328Aihen MuñozReal Sociedad, 28, D(L)","Aihen Muñoz Real Sociedad, 28, D(L)",13(8),1101,-,-,5,-,0.3,77.4,1.1,-,6.44
"329Mikel VesgaAthletic Club, 33, M(C)","Mikel Vesga Athletic Club, 33, M(C)",10(15),983,-,-,1,-,0.2,81.5,1,-,6.43
"330Pau NavarroVillarreal, 21, D(CR)","Pau Navarro Villarreal, 21, D(CR)",8(9),918,-,-,1,-,0.1,90.5,0.5,-,6.43
