Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"248Luke AylingLeeds, 34, D(CR),M(R)","Luke Ayling Leeds, 34, D(CR),M(R)",22(7),2049,2,1,3,-,0.8,69.2,1.6,-,6.55
"249Hugo LlorisTottenham, 39, GK","Hugo Lloris Tottenham, 39, GK",25,2206,-,-,-,-,-,73.5,0.4,-,6.55
"250Leander DendonckerWolves, 31, D(C),M(C)","Leander Dendoncker Wolves, 31, D(C),M(C)",2(2),213,-,-,-,-,0.8,86.7,0.5,-,6.55
"251Joe AriboSouthampton, 29, M(CLR),FW","Joe Aribo Southampton, 29, M(CLR),FW",13(8),1229,2,-,2,-,0.7,74.1,1.4,-,6.55
"252Ayoze PérezLeicester, 32, AM(CLR),FW","Ayoze Pérez Leicester, 32, AM(CLR),FW",3(5),380,-,1,-,-,1.0,75.7,0.3,-,6.55
"253Clément LengletTottenham, 30, D(C)","Clément Lenglet Tottenham, 30, D(C)",24(2),2027,-,2,4,-,0.5,87.5,1.7,-,6.55
"254Levi ColwillBrighton, 23, D(CL)","Levi Colwill Brighton, 23, D(CL)",13(4),1221,-,2,1,-,0.5,88.6,2.6,-,6.54
"255Conor GallagherChelsea, 26, M(CL)","Conor Gallagher Chelsea, 26, M(CL)",18(17),1616,3,1,9,1,0.8,84.5,0.5,2,6.54
"256Renan LodiNottingham Forest, 28, D(L),M(L)","Renan Lodi Nottingham Forest, 28, D(L),M(L)",26(2),2222,-,1,7,-,0.5,71.3,0.6,-,6.54
"257Stefan BajceticLiverpool, 21, DMC","Stefan Bajcetic Liverpool, 21, DMC",6(5),527,1,-,2,-,0.5,78.7,0.8,-,6.54
"258Kyle WalkerMan City, 35, D(CR),M(R)","Kyle Walker Man City, 35, D(CR),M(R)",22(5),1957,-,-,3,-,0.2,89.5,0.9,-,6.54
"259Daniel AmarteyLeicester, 31, D(CR),DMC","Daniel Amartey Leicester, 31, D(CR),DMC",18(2),1610,-,-,1,-,0.3,91.3,1.7,1,6.53
"260Tyrick MitchellCrystal Palace, 26, D(L),M(L)","Tyrick Mitchell Crystal Palace, 26, D(L),M(L)",34(2),2896,-,2,5,1,0.2,72.4,0.7,-,6.53
