Player,Player.1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"123Randal Kolo MuaniEintracht Frankfurt, 27, AM(CLR),FW","Randal Kolo Muani Eintracht Frankfurt, 27, AM(CLR),FW",2,154,1,-,-,-,2.5,65.4,2.0,1,6.75
"124Piero HincapiéLeverkusen, 24, D(CL),M(L)","Piero Hincapié Leverkusen, 24, D(CL),M(L)",16(10),1484,1,2,2,-,0.7,91.8,1.4,-,6.74
"125Iago BorduchiAugsburg, 29, D(L),M(L)","Iago Borduchi Augsburg, 29, D(L),M(L)",18(5),1625,1,1,4,-,0.8,76.2,0.9,1,6.74
"126Willian PachoEintracht Frankfurt, 24, D(C)","Willian Pacho Eintracht Frankfurt, 24, D(C)",33,2970,-,2,7,-,0.3,84.9,1.6,1,6.74
"127Rocco ReitzBorussia M.Gladbach, 23, M(C)","Rocco Reitz Borussia M.Gladbach, 23, M(C)",24(10),2142,6,3,2,-,1,76.2,0.4,1,6.74
"128Hugo EkitikéEintracht Frankfurt, 23, FW","Hugo Ekitiké Eintracht Frankfurt, 23, FW",7(7),719,4,2,3,-,2.1,71.0,1.0,-,6.74
"129Aleksandar PavlovicBayern, 21, DMC","Aleksandar Pavlovic Bayern, 21, DMC",14(5),1231,2,2,6,-,0.4,93.6,0.5,-,6.73
"130Moritz NicolasBorussia M.Gladbach, 28, GK","Moritz Nicolas Borussia M.Gladbach, 28, GK",27,2430,-,-,2,-,-,74.9,0.4,2,6.73
"131Amos PieperWerder Bremen, 28, D(C)","Amos Pieper Werder Bremen, 28, D(C)",7,591,-,-,-,-,0.6,74.5,3.7,-,6.73
"132TutaEintracht Frankfurt, 26, D(C),DMC","Tuta Eintracht Frankfurt, 26, D(C),DMC",30,2608,1,2,1,2,0.6,85.1,1.7,-,6.73
"133Eric MartelFC Koln, 23, D(C),DMC","Eric Martel FC Koln, 23, D(C),DMC",29(1),2464,1,1,6,-,0.9,82.5,2.4,1,6.73
"134Danilho DoekhiUnion Berlin, 27, D(C)","Danilho Doekhi Union Berlin, 27, D(C)",24,2160,2,-,2,-,0.7,80.8,2.3,1,6.72
"135Jonas OmlinBorussia M.Gladbach, 32, GK","Jonas Omlin Borussia M.Gladbach, 32, GK",7,630,-,1,1,-,-,71.5,0.6,-,6.72
