"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Ludovic Blas,,""$ 11,031"",""$ 573,590"",,""$ 573,590"",""$ 590,578"",Active,F,25,France,Nantes,,"
"Youssouf Ndayishimiye,,""$ 10,822"",""$ 562,767"",,""$ 562,767"",""$ 579,435"",Active,D,24,Burundi,Nice,,"
"Jean-Eudes Aholou,,""$ 10,614"",""$ 551,945"",,""$ 551,945"",""$ 568,292"",Active,M,28,Cote d'Ivoire,Strasbourg,,"
"Igor Silva,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 557,149"",Active,D,26,Brazil,Lorient,,"
"Loïc Rémy,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 557,149"",Active,F,36,France,Brest,,"
"Terem Moffi,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 557,149"",Loan,F,23,Nigeria,Nice,,"
"Sébastien Corchia,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 557,149"",Active,D,32,France,Nantes,,"
"Jonas Martin,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 557,149"",Active,M,32,France,Lille,,"
"Christopher Jullien,,""$ 10,406"",""$ 541,122"",,""$ 541,122"",""$ 557,149"",Active,D,29,France,Montpellier,,"
"Khéphren Thuram,,""$ 9,990"",""$ 519,478"",,""$ 519,478"",""$ 534,863"",Active,M,21,France,Nice,,"
"Henrique,,""$ 9,782"",""$ 508,655"",,""$ 508,655"",""$ 523,720"",Active,D,28,Brazil,Lyon,,"
"Salis Abdul Samed,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,M,23,Ghana,Lens,,"
"Lebo Mothiba,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,F,27,South Africa,Strasbourg,,"
"Alexander Djiku,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,D,28,Ghana,Strasbourg,,"
"Loïs Openda,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,F,22,Belgium,Lens,,"
"Renaud Ripart,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,F,29,France,Troyes,,"
"Steve Mounié,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,F,28,Benin,Brest,,"
"Jonathan Gradit,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,D,30,France,Lens,,"
"M'Baye Niang,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,F,28,Senegal,Auxerre,,"
"Facundo Medina,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,D,23,Argentina,Lens,,"
"Sanjin Prcic,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,M,29,Bosnia-Herzegovina,Strasbourg,,"
"Romain Hamouma,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,F,35,France,Ajaccio,,"
"Branco van den Boomen,,""$ 9,574"",""$ 497,833"",,""$ 497,833"",""$ 512,577"",Active,M,27,Netherlands,Toulouse,,"
"Bamba Dieng,,""$ 9,366"",""$ 487,010"",,""$ 487,010"",""$ 501,434"",Active,F,22,Senegal,Lorient,,"
"Abdoulaye Bamba,,""$ 9,366"",""$ 487,010"",,""$ 487,010"",""$ 501,434"",Active,D,32,Cote d'Ivoire,Angers,,"
"Jean Lucas,,""$ 14,569"",""$ 757,571"",,""$ 757,571"",""$ 780,009"",Active,M,24,Brazil,Monaco,,"
"Akim Zedadka,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 479,148"",Loan,D,27,Algeria,Auxerre,,"
"Adil Rami,,""$ 8,949"",""$ 465,365"",,""$ 465,365"",""$ 479,148"",Active,D,37,France,Troyes,,"
