Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Bram Nuytinck,Sampdoria,6.67,1504,,1.0,19
Rasmus Højlund,Atalanta,6.67,1836,9.0,2.0,20(12)
Hans Hateboer,Atalanta,6.67,1402,1.0,1.0,17
Gianluca Mancini,Roma,6.67,2867,1.0,2.0,33(2)
Darko Lazovic,Verona,6.67,2254,4.0,5.0,27(3)
Sandi Lovric,Udinese,6.66,2351,5.0,6.0,28(9)
Mathías Olivera,Napoli,6.66,1637,2.0,2.0,17(13)
Beto,Udinese,6.66,2132,10.0,1.0,23(10)
Johan Vásquez,Cremonese,6.66,1809,1.0,,19(6)
Koray Günter,Verona,6.66,1003,1.0,1.0,11(2)
Walace,Udinese,6.66,3200,,1.0,37
Nehuén Pérez,Udinese,6.65,2831,2.0,,33(1)
Simone Bastoni,Spezia,6.65,1198,2.0,4.0,15(4)
Leonardo Sernicola,Cremonese,6.65,2319,2.0,2.0,27(5)
Sebastiano Luperto,Empoli,6.65,3137,2.0,,36
Denis Zakaria,Juventus,6.65,122,,,1(1)
Ricardo Rodríguez,Torino,6.65,2670,,,30(5)
Wladimiro Falcone,Lecce,6.65,3420,,,38
Nemanja Matic,Roma,6.65,1839,2.0,2.0,16(19)
Mike MaignanAC,Milan,6.64,1979,,1.0,22
Aleksey Miranchuk,Torino,6.64,2099,4.0,5.0,24(5)
M'Bala Nzola,Spezia,6.64,2654,13.0,2.0,29(2)
Stefano Sensi,Monza,6.64,1629,3.0,1.0,21(7)
Eljif Elmas,Napoli,6.64,1618,6.0,3.0,14(22)
Emil Holm,Spezia,6.64,1398,1.0,1.0,17(3)
Nikola Moro,Bologna,6.64,1224,1.0,5.0,12(14)
Tyronne Ebuehi,Empoli,6.64,1926,2.0,4.0,22(4)
Samuel Umtiti,Lecce,6.64,2115,,,24(1)
Wilfried Singo,Torino,6.64,2056,2.0,1.0,24(7)
Dany Mota,Monza,6.64,1925,5.0,1.0,21(8)
Dodô,Fiorentina,6.64,2341,1.0,3.0,28(5)
Giorgio Scalvini,Atalanta,6.63,2346,2.0,2.0,29(3)
Ethan Ampadu,Spezia,6.63,2649,,1.0,31
Marin Pongracic,Lecce,6.63,792,,,9
Nicola Ravaglia,Sampdoria,6.63,810,,,9
Lorenzo Montipò,Verona,6.63,3330,,,37
Matteo Darmian,Inter,6.63,2032,1.0,2.0,24(7)
Pedro,Lazio,6.63,1896,4.0,3.0,17(19)
Panagiotis Retsos,Verona,6.63,122,,,1(1)
Georgios Kyriakopoulos,Bologna,6.62,704,,2.0,8(4)
Federico Fazio,Salernitana,6.62,1075,1.0,,12(2)
Jakub Kiwior,Spezia,6.62,1447,,,17
Mehdi Léris,Sampdoria,6.62,2465,1.0,1.0,29(3)
Musa Barrow,Bologna,6.62,1971,3.0,8.0,26(6)
Simone Verdi,Verona,6.62,1093,5.0,,12(12)
Valentin Gendrey,Lecce,6.62,3103,,2.0,35(2)
Samuele Ricci,Torino,6.62,2073,2.0,1.0,23(5)
Nicolò Cambiaghi,Empoli,6.61,1282,6.0,1.0,12(16)
Pablo Marí,Monza,6.61,2489,1.0,,28(2)
Arthur Cabral,Fiorentina,6.61,1433,8.0,1.0,15(13)
Janis Antiste,Sassuolo,6.61,50,1.0,,0(2)
Alexis Blin,Lecce,6.61,2380,1.0,,26(9)
Vlad Chiriches,Cremonese,6.61,986,,,14(2)
David Okereke,Cremonese,6.6,2277,7.0,,25(8)
Danilo Cataldi,Lazio,6.6,1942,,1.0,26(3)
Georginio Wijnaldum,Roma,6.6,768,2.0,,10(4)
Matteo Politano,Napoli,6.6,1168,3.0,3.0,14(13)
Jhon Lucumí,Bologna,6.6,2902,,1.0,33
Isak Hien,Verona,6.6,2608,,,28(4)
José Palomino,Atalanta,6.59,755,1.0,,8(7)
Ciprian TatarusanuAC,Milan,6.59,1440,,1.0,16
Martin Erlic,Sassuolo,6.59,2332,,,26(2)
Krzysztof Piatek,Salernitana,6.59,2144,4.0,5.0,23(10)
