"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Juan Bernat,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,D,31,Spain,Getafe,,"
"Dani Vivian,,""$ 38,067"",""$ 1,979,493"",,""$ 1,979,493"",""$ 1,979,493"",Active,D,25,Spain,Athletic Club,,"
"Joan Jordán,,""$ 37,632"",""$ 1,956,870"",,""$ 1,956,870"",""$ 1,956,870"",Loan,M,30,Spain,Alaves,,"
"Oriol Romeu,,""$ 36,545"",""$ 1,900,314"",""$ 271,473"",""$ 2,171,787"",""$ 2,171,787"",Loan,M,33,Spain,Girona,,"
"Ángel Correa,,""$ 36,545"",""$ 1,900,314"",,""$ 1,900,314"",""$ 1,900,314"",Active,F,29,Argentina,Atletico Madrid,,"
"Alfonso Pedraza,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,D,28,Spain,Villarreal,,"
"Lamine Yamal,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,F,17,Spain,Barcelona,,"
"Juan Musso,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Loan,K,30,Argentina,Atletico Madrid,,"
"Daley Blind,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,D,34,Netherlands,Girona,,"
"Iñaki Peña,,""$ 33,934"",""$ 1,764,577"",,""$ 1,764,577"",""$ 1,764,577"",Active,K,25,Spain,Barcelona,,"
"Thomas Lemar,,""$ 33,934"",""$ 1,764,577"",,""$ 1,764,577"",""$ 1,764,577"",Active,F,29,France,Atletico Madrid,,"
"Antony,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Loan,F,24,Brazil,Real Betis,,"
"Rubén Vargas,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,26,Switzerland,Sevilla,,"
"Adnan Januzaj,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Inactive,F,30,Belgium,Sevilla,,"
"Arnaut Danjuma,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Loan,F,28,Netherlands,Girona,,"
"Albert Sambi Lokonga,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Loan,M,25,Belgium,Sevilla,,"
"Donny van de Beek,,""$ 32,629"",""$ 1,696,708"",""$ 565,570"",""$ 2,262,278"",""$ 2,262,278"",Active,M,27,Netherlands,Girona,,"
"Diego Llorente,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,31,Spain,Real Betis,,"
