Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
461,Kim Min-jae,kr KOR,DF,Napoli,25,1996,35,3050,87,89.2,33.9,35,87,30,0,,2,2.40,70,24,+46,+1.36,+0.63,Matches
462,Aleksei Miranchuk,ru RUS,MF,Torino,26,1995,29,2089,72,61.1,23.2,24,82,12,5,26,1,1.38,29,24,+5,+0.22,+0.49,Matches
463,Antonio Mirante,it ITA,GK,Milan,39,1983,1,2,2,0.1,0.0,0,,0,1,2,37,3.00,1,0,+1,+45.00,+44.47,Matches
464,Fabio Miretti,it ITA,"MF,FW",Juventus,18,2003,27,1234,46,36.1,13.7,14,67,1,13,23,7,1.78,14,9,+5,+0.36,-0.38,Matches
465,Filippo Missori,it ITA,"MF,DF",Roma,18,2004,3,181,60,5.3,2.0,2,90,2,1,1,2,0.33,1,2,-1,-0.50,-0.86,Matches
466,Henrikh Mkhitaryan,am ARM,MF,Inter,33,1989,31,1986,64,58.1,22.1,24,75,6,7,26,1,1.84,44,18,+26,+1.18,+0.99,Matches
467,Salvatore Molina,it ITA,MF,Monza,30,1992,5,229,46,6.7,2.5,1,79,0,4,38,2,0.20,1,6,-5,-1.97,-1.99,Matches
468,Daniele Montevago,it ITA,FW,Sampdoria,19,2003,6,231,39,6.8,2.6,3,63,1,3,14,3,0.50,0,4,-4,-1.56,-0.34,Matches
469,Lorenzo Montipò,it ITA,GK,Hellas Verona,26,1996,37,3330,90,97.4,37.0,37,90,37,0,,0,0.87,31,59,-28,-0.76,-0.76,Matches
470,Nikola Moro,hr CRO,MF,Bologna,24,1998,26,1226,47,35.8,13.6,12,76,5,14,23,9,1.62,23,16,+7,+0.51,+0.64,Matches
471,Raúl Moro,es ESP,MF,Lazio,19,2002,0,,,,,0,,0,0,,1,,,,,,,Matches
472,Dany Mota,pt POR,"FW,MF",Monza,24,1998,29,1912,66,55.9,21.2,21,79,6,8,33,2,1.52,28,22,+6,+0.28,+0.88,Matches
473,Andrei Motoc,md MDA,DF,Salernitana,20,2002,0,,,,,0,,0,0,,13,,,,,,,Matches
474,Mattia Motolese,it ITA,DF,Bologna,18,2004,0,,,,,0,,0,0,,1,,,,,,,Matches
475,João Moutinho,pt POR,DF,Spezia,24,1998,4,58,15,1.7,0.6,0,,0,4,15,1,1.00,0,2,-2,-3.10,-2.33,Matches
476,Endri Muhameti,al ALB,MF,Atalanta,18,2004,0,,,,,0,,0,0,,3,,,,,,,Matches
477,Mert Müldür,tr TUR,DF,Sassuolo,23,1999,2,13,7,0.4,0.1,1,6,0,1,7,6,0.00,0,0,0,0.00,+0.37,Matches
478,Luis Muriel,co COL,"FW,MF",Atalanta,31,1991,29,1073,37,31.4,11.9,10,65,0,19,22,2,1.59,20,15,+5,+0.42,-0.08,Matches
479,Jeison Murillo,co COL,DF,Sampdoria,30,1992,20,1057,53,30.9,11.7,12,74,5,8,22,12,0.60,7,23,-16,-1.36,-0.18,Matches
480,Nicola Murru,it ITA,DF,Sampdoria,27,1994,20,784,39,22.9,8.7,5,81,4,15,25,15,0.75,4,17,-13,-1.49,-0.33,Matches
481,Juan Musso,ar ARG,GK,Atalanta,28,1994,24,2077,87,60.7,23.1,24,87,23,0,,10,1.79,41,27,+14,+0.61,+0.34,Matches
482,Joakim Mæhle,dk DEN,MF,Atalanta,25,1997,34,2209,65,64.6,24.5,25,82,12,9,19,2,1.62,39,33,+6,+0.24,-0.65,Matches
483,Caumenan N'Guessan,fr FRA,DF,Torino,18,2003,0,,,,,0,,0,0,,9,,,,,,,Matches
