"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Mathías Olivera,,""$ 43,505"",""$ 2,262,278"",""$ 565,570"",""$ 2,827,847"",""$ 2,827,847"",Active,D,27,Uruguay,Napoli,,"
"Luca Pellegrini,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Loan,D,25,Italy,Lazio,,"
"Tijjani Noslin,,""$ 28,278"",""$ 1,470,481"",""$ 452,456"",""$ 1,922,936"",""$ 1,922,936"",Active,F,25,Netherlands,Lazio,,"
"Fisayo Dele-Bashiru,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Loan,F,23,Nigeria,Lazio,,"
"Lucas Beltrán,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,23,Argentina,Fiorentina,,"
"Valentín Castellanos,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,26,Argentina,Lazio,,"
"Ademola Lookman,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,27,Nigeria,Atalanta,,"
"Florian Thauvin,,""$ 39,155"",""$ 2,036,050"",,""$ 2,036,050"",""$ 2,036,050"",Active,F,32,France,Udinese,,"
"Arkadiusz Milik,,""$ 38,067"",""$ 1,979,493"",,""$ 1,979,493"",""$ 1,979,493"",Active,F,31,Poland,Juventus,,"
"Luca Ranieri,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,25,Italy,Fiorentina,,"
"Andrea Colpani,,""$ 26,103"",""$ 1,357,367"",""$ 904,911"",""$ 2,262,278"",""$ 2,262,278"",Loan,F,25,Italy,Fiorentina,,"
"Juan Cabal,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,24,Colombia,Juventus,,"
"Michael Folorunsho,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Loan,M,26,Italy,Fiorentina,,"
"Juan Miranda,,""$ 26,103"",""$ 1,357,367"",""$ 452,456"",""$ 1,809,822"",""$ 1,809,822"",Active,D,25,Spain,Bologna,,"
"Alfred Duncan,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,M,31,Ghana,Venezia,,"
"Patric,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,31,Spain,Lazio,,"
"Lloyd Kelly,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Loan,D,26,England,Juventus,,"
"Amir Richardson,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,M,23,Morocco,Fiorentina,,"
"Sergi Roberto,,""$ 26,103"",""$ 1,357,367"",""$ 339,342"",""$ 1,696,708"",""$ 1,696,708"",Active,M,32,Spain,Como,,"
"Rafa Marín,,""$ 26,103"",""$ 1,357,367"",""$ 339,342"",""$ 1,696,708"",""$ 1,696,708"",Active,D,22,Spain,Napoli,,"
"Devyne Rensch,,""$ 26,103"",""$ 1,357,367"",,""$ 1,357,367"",""$ 1,357,367"",Active,D,22,Netherlands,Roma,,"
"Suat Serdar,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,M,27,Germany,Hellas Verona,,"
"Pablo Marí,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,D,31,Spain,Fiorentina,,"
"Toma Bašić,,""$ 34,804"",""$ 1,809,822"",,""$ 1,809,822"",""$ 1,809,822"",Active,M,28,Croatia,Lazio,,"
"Daniel Maldini,,""$ 23,928"",""$ 1,244,253"",""$ 452,456"",""$ 1,696,708"",""$ 1,696,708"",Active,F,23,Italy,Atalanta,,"
"Florinel Coman,,""$ 23,493"",""$ 1,221,630"",,""$ 1,221,630"",""$ 1,221,630"",Loan,F,26,Romania,Cagliari,,"
