Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Arthur VermeerenRBL,Desconocido,6.31,1580,,2.0,18(10)
Yannick Gerhardt,Wolfsburg,6.31,1511,1.0,,15(14)
Stefan LainerBorussia M.,Gladbach,6.31,745,1.0,,6(15)
Timo Horn,Bochum,6.31,1170,,,13
Kosta NedeljkovicRBL,Desconocido,6.31,479,,,6(4)
Nelson Weiper,Mainz,6.31,701,3.0,2.0,7(16)
László Bénes,Union Berlin,6.3,574,2.0,1.0,3(20)
Eljif ElmasRBL,Desconocido,6.3,42,,,0(2)
Mikkel KaufmannFC,Heidenheim,6.29,369,,,3(6)
André Silva,Werder Bremen,6.29,377,1.0,,4(3)
Yussuf PoulsenRBL,Desconocido,6.29,363,2.0,,2(20)
Samuel Essende,Augsburg,6.28,1648,7.0,2.0,21(9)
Fabio ChiarodiaBorussia M.,Gladbach,6.28,373,1.0,,3(13)
Pascal Stenzel,Stuttgart,6.28,290,,,4(6)
Salih Özcan,Wolfsburg,6.28,347,,,3(8)
Michy Batshuayi,Eintracht Frankfurt,6.28,300,3.0,,3(7)
Milos Veljkovic,Werder Bremen,6.28,1030,,1.0,11(3)
David Mokwa,Hoffenheim,6.28,20,,,0(2)
Arne Maier,Augsburg,6.27,926,,,7(21)
Yannik Keitel,Stuttgart,6.27,265,,,2(9)
Merlin Röhl,Freiburg,6.27,966,,1.0,11(8)
Ben VollSt.,Pauli,6.27,91,,,1(1)
Mërgim Berisha,Hoffenheim,6.27,330,1.0,1.0,3(8)
Anthony Losilla,Bochum,6.27,1131,,,13(7)
Max Moerstedt,Hoffenheim,6.26,453,,,5(7)
Magnus Knudsen,Holstein Kiel,6.26,1854,,1.0,22(9)
Timon Weiner,Holstein Kiel,6.26,2205,,,25
Keke Topp,Werder Bremen,6.26,239,2.0,2.0,1(18)
Roland Sallai,Freiburg,6.26,44,,,0(2)
Luca KerberFC,Heidenheim,6.26,777,2.0,,7(16)
Jacob Bruun Larsen,Stuttgart,6.26,408,1.0,,3(12)
Diadié Samassékou,Hoffenheim,6.25,296,,,6(2)
Timothy Chandler,Eintracht Frankfurt,6.25,22,,,0(3)
Armindo Sieb,Mainz,6.25,754,2.0,2.0,5(22)
Jonas Urbig,Bayern,6.24,720,,,8
Aurèle Amenda,Eintracht Frankfurt,6.24,91,,,1(7)
André SilvaRBL,Desconocido,6.24,124,1.0,2.0,0(8)
Patrick Drewes,Bochum,6.24,1845,,,21
Steve Mounié,Augsburg,6.24,335,1.0,,1(15)
Thomas KellerFC,Heidenheim,6.24,147,,,2(4)
David Jurásek,Hoffenheim,6.24,615,,1.0,6(8)
Ivan Prtajin,Union Berlin,6.23,160,,,2(3)
Tidiam GomisRBL,Desconocido,6.23,148,,1.0,1(7)
Aster Vranckx,Wolfsburg,6.23,553,,,6(8)
Tim Skarke,Union Berlin,6.23,1161,,2.0,11(22)
Florian NeuhausBorussia M.,Gladbach,6.23,368,,1.0,2(16)
Justin Diehl,Stuttgart,6.22,98,1.0,,0(6)
Fredrik Jensen,Augsburg,6.22,759,,,9(11)
Umut Tohumcu,Hoffenheim,6.22,370,,1.0,3(9)
Niklas Beste,Freiburg,6.22,204,,1.0,0(12)
Maximilian BreunigFC,Heidenheim,6.21,341,2.0,,2(11)
Yusuf Kabadayi,Augsburg,6.21,66,1.0,,0(5)
Moritz-Broni Kwarteng,Bochum,6.21,167,,,0(7)
Dominik Javorcek,Holstein Kiel,6.21,383,,2.0,4(9)
Lewis Holtby,Holstein Kiel,6.2,1192,,1.0,13(12)
Alexander Schwolow,Union Berlin,6.2,540,,,6
Florent Muslija,Freiburg,6.2,160,,,0(9)
Jordy Makengo,Freiburg,6.2,736,,,7(12)
Adam DzwigalaSt.,Pauli,6.2,362,,,2(14)
