Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Oriol Romeu,Barcelona,6.39,932,,1.0,11(17)
Máximo Perrone,Las Palmas,6.39,1631,,,20(9)
Abde Ezzalzouli,Barcelona,6.39,67,,,0(2)
Pepe Reina,Villarreal,6.39,183,,,5
Antonio Sánchez,Mallorca,6.39,1465,3.0,1.0,21(8)
Rominigue Kouamé,Cadiz,6.39,821,,,9(7)
Jaume Costa,Mallorca,6.39,1684,,1.0,19(11)
Jordi Martín,Getafe,6.38,576,,,5(8)
Unai Gómez,Athletic Club,6.38,870,2.0,,9(16)
Dimitri Foulquier,Valencia,6.38,1835,,,19(14)
Álvaro Carreras,Granada,6.38,474,,,5(8)
Tasos Douvikas,Celta Vigo,6.38,886,7.0,1.0,7(25)
Aiham Ousou,Cadiz,6.37,430,,,5(1)
Javi Muñoz,Las Palmas,6.37,2648,2.0,3.0,30(7)
Kevin Vázquez,Celta Vigo,6.37,706,,,10(2)
Marc Cardona,Las Palmas,6.37,724,4.0,1.0,6(20)
Sergi Altimira,Real Betis,6.37,566,1.0,,6(8)
Giuliano Simeone,Deportivo Alaves,6.36,630,1.0,2.0,6(8)
William Carvalho,Real Betis,6.36,673,1.0,3.0,4(18)
Aïssa Mandi,Villarreal,6.35,1113,1.0,,12(4)
Óscar Trejo,Rayo Vallecano,6.35,1385,,,19(12)
Pep Chavarría,Rayo Vallecano,6.35,1166,1.0,1.0,13(10)
Iker Muniain,Athletic Club,6.35,588,2.0,,5(15)
Stefan Mitrovic,Getafe,6.35,701,1.0,,9(2)
Álvaro Odriozola,Real Sociedad,6.35,398,,,6(3)
Diadié Samassékou,Cadiz,6.35,87,,,0(4)
Rubén Sobrino,Cadiz,6.34,1649,,1.0,18(14)
André Ferreira,Granada,6.34,1339,,,14(1)
Iddrisu Baba,Almeria,6.34,1428,,,14(11)
José Arnáiz,Osasuna,6.34,924,2.0,1.0,9(17)
Diego Méndez,Rayo Vallecano,6.34,4,,,0(1)
Rubén Iranzo,Valencia,6.34,10,,,0(1)
Álex Fernández,Cadiz,6.34,1286,,1.0,14(12)
Omar Mascarell,Mallorca,6.34,1574,,,18(11)
Carlos Neva,Granada,6.34,3154,,2.0,36
Raúl García,Osasuna,6.33,1351,6.0,1.0,13(22)
Raúl de Tomás,Rayo Vallecano,6.33,1280,1.0,2.0,15(10)
