Player_Name,Team,Rating,Mins,Goals,Assists,Apps
Issa Kaboré,Marseille,6.57,1022,1.0,,9(13)
Yahia Fofana,Angers,6.57,990,,,11
Ignatius Ganago,Nantes,6.56,1520,5.0,3.0,16(12)
Mounaïm El IdrissyAC,Ajaccio,6.56,2509,6.0,,30(2)
Alexis Claude-Maurice,Lens,6.56,597,5.0,3.0,5(15)
Andreaw Gravillon,Reims,6.56,1040,,,12(1)
Mathias Autret,Auxerre,6.56,1302,2.0,2.0,16(7)
Yusuf Yazici,Lille,6.55,202,1.0,1.0,3(1)
Bingourou Kamara,Montpellier,6.55,407,,,4(1)
Muhammed Cham,Clermont Foot,6.55,1976,7.0,4.0,23(15)
Jordan Ferri,Montpellier,6.55,2749,1.0,2.0,32(2)
Renaud Ripart,Troyes,6.55,1319,4.0,1.0,15(11)
Moses Simon,Nantes,6.55,2359,5.0,4.0,28(6)
Thomas Delaine,Strasbourg,6.55,1078,,2.0,13(4)
Leandro ParedesPSG,Desconocido,6.55,49,,1.0,0(3)
Maxime Gonalons,Clermont Foot,6.55,1457,1.0,,19(6)
Faouzi Ghoulam,Angers,6.55,482,,,6(1)
Jean-Kévin Duverne,Brest,6.54,2514,,,27(7)
Ross Barkley,Nice,6.54,923,4.0,2.0,9(18)
Nicolas Cozza,Montpellier,6.54,1275,2.0,1.0,14(3)
Stephy Mavididi,Montpellier,6.54,1285,4.0,2.0,14(12)
Jean-Louis Leca,Lens,6.54,90,,,1
Amine Harit,Marseille,6.54,515,,,6(4)
Henrique,Lyon,6.54,353,,1.0,3(4)
Rémy Riou,Lyon,6.54,601,,,6(1)
Edan Diop,Monaco,6.53,220,1.0,,1(6)
David da Costa,Lens,6.53,1410,1.0,3.0,16(15)
Maxime Estève,Montpellier,6.53,1645,,,18(5)
Timothy Weah,Lille,6.53,1748,,2.0,18(11)
Gabriel Gudmundsson,Lille,6.53,832,,,9(9)
Mohamed YoussoufAC,Ajaccio,6.53,2457,,,27(3)
Igor Silva,Lorient,6.53,457,,,5(2)
Noah Fadiga,Brest,6.52,1312,1.0,,16(5)
Falaye Sacko,Montpellier,6.52,2580,1.0,3.0,29(6)
Dimitri Liénard,Strasbourg,6.52,1546,,,18(10)
Florent Mollet,Nantes,6.52,1090,1.0,2.0,11(8)
Antoine Mendy,Nice,6.52,520,,1.0,7(4)
Pedro Chirivella,Nantes,6.52,2042,,1.0,25(1)
Akim Zedadka,Auxerre,6.51,1603,,,19(1)
Rayan Raveloson,Auxerre,6.51,2427,2.0,1.0,27(7)
Pape Gueye,Marseille,6.51,486,1.0,1.0,4(10)
Ronaël Pierre-Gabriel,Strasbourg,6.5,653,,1.0,7(7)
Kamory Doumbia,Reims,6.5,1158,2.0,2.0,13(13)
Haris Belkebla,Brest,6.5,2658,2.0,,30(8)
Evann Guessand,Nantes,6.5,1257,3.0,2.0,15(15)
Brecht Dejaegere,Toulouse,6.5,1827,4.0,1.0,25(5)
Jean Onana,Lens,6.5,807,,,9(12)
Vincent MarchettiAC,Ajaccio,6.5,2463,,2.0,29(2)
Kenji-Van Boto,Auxerre,6.49,180,,,2
Yohann Magnin,Clermont Foot,6.49,2393,,,25(13)
Johann Lepenant,Lyon,6.49,1935,1.0,2.0,21(10)
Mickaël BarretoAC,Ajaccio,6.49,1328,1.0,1.0,15(5)
Arkadiusz Milik,Marseille,6.49,131,,,2
Bamba Dieng,Lorient,6.48,749,3.0,,9(6)
Lesley Ugochukwu,Rennes,6.48,1330,,1.0,14(12)
Théo Le Bris,Lorient,6.48,1451,2.0,2.0,15(12)
Sanjin Prcic,Strasbourg,6.48,1633,1.0,1.0,17(12)
Gerson,Marseille,6.48,420,2.0,,6(4)
Massadio Haïdara,Lens,6.47,1657,,1.0,17(19)
Xeka,Rennes,6.47,551,,,6(2)
Aiman Maurer,Clermont Foot,6.47,504,,1.0,6(4)
Youssouf KonéAC,Ajaccio,6.47,922,,,12(1)
Gaëtan Perrin,Auxerre,6.47,1388,3.0,1.0,15(22)
Kamaldeen Sulemana,Rennes,6.47,317,1.0,,2(12)
Reda Belahyane,Nice,6.47,179,,,1(3)
Damien Da Silva,Lyon,6.46,336,,,3(4)
Abdu Conté,Troyes,6.46,1317,1.0,2.0,15(4)
Ibrahima Koné,Lorient,6.46,1569,7.0,1.0,15(22)
Carlos SolerPSG,Desconocido,6.46,1188,3.0,2.0,14(12)
Yuito Suzuki,Strasbourg,6.46,34,1.0,,0(3)
Hugo Magnetti,Brest,6.46,1688,1.0,2.0,19(13)
Mehdi Zeffane,Clermont Foot,6.46,656,1.0,1.0,7(11)
Stéphane Diarra,Lorient,6.46,1070,2.0,,14(14)
Mathias Pereira Lage,Brest,6.45,1272,2.0,1.0,16(8)
Jim Allevinah,Clermont Foot,6.45,2248,1.0,1.0,25(11)
Wesley Saïd,Lens,6.45,638,5.0,,6(15)
Léo Leroy,Montpellier,6.45,1189,,,14(13)
Achraf Dari,Brest,6.45,1317,1.0,,15(3)
Kays Ruiz-Atil,Auxerre,6.45,63,,,1
Yasser Larouci,Troyes,6.45,1800,1.0,1.0,21(9)
Warren Kamanzi,Toulouse,6.45,662,,,7(4)
Myziane Maolida,Reims,6.44,227,1.0,,2(7)
Leny Yoro,Lille,6.44,768,,,8(5)
Fernand MayemboAC,Ajaccio,6.44,707,,,8(3)
Colin Dagba,Strasbourg,6.44,960,,,12(9)
Bradley Locko,Brest,6.44,270,,,2(5)
Takumi Minamino,Monaco,6.44,726,1.0,3.0,10(8)
Eduard Sobol,Strasbourg,6.44,869,,1.0,9(6)
Rudy Kohon,Troyes,6.44,63,,,0(1)
Bevic Moussiti-OkoAC,Ajaccio,6.44,696,1.0,,7(10)
Jean-Victor Makengo,Lorient,6.44,1067,,,12(3)
Gerzino Nyamsi,Strasbourg,6.44,1580,1.0,1.0,19(1)
Renato SanchesPSG,Desconocido,6.43,705,2.0,,6(17)
Jean-Eudes Aholou,Strasbourg,6.43,1301,3.0,1.0,16(14)
Yoann Salmier,Troyes,6.43,2652,1.0,,31(1)
Mattia Viti,Nice,6.43,634,1.0,,7(2)
Wilson Odobert,Troyes,6.43,1767,4.0,2.0,19(13)
Jere Uronen,Brest,6.43,298,,1.0,3(3)
Rubén Blanco,Marseille,6.43,496,,,6
Kevin Volland,Monaco,6.43,638,3.0,2.0,7(10)
Dion Lopy,Reims,6.43,1377,,1.0,16(13)
Jodel Dossou,Clermont Foot,6.43,254,1.0,,2(7)
Darlin Yongwa,Lorient,6.43,778,1.0,1.0,8(6)
Houssem Aouar,Lyon,6.42,522,1.0,1.0,6(10)
Jean-Claude Billong,Clermont Foot,6.42,22,,,0(1)
Miha Blazic,Angers,6.42,1980,2.0,,22(2)
Logan Costa,Toulouse,6.42,414,,,4(2)
Samuel Moutoussamy,Nantes,6.42,2403,,2.0,27(8)
Calvin Stengs,Nice,6.42,214,,,3(1)
Adil Rami,Troyes,6.41,1600,,1.0,18(2)
Ibrahima Sissoko,Strasbourg,6.41,1306,,2.0,13(13)
Cédric Bakambu,Marseille,6.41,56,,1.0,0(3)
Ibrahim Diakité,Reims,6.41,132,,,1(2)
Youcef Belaïli,Brest,6.41,359,,2.0,4(2)
Soungoutou Magassa,Monaco,6.4,80,,,0(2)
Paul Bernardoni,Angers,6.4,2430,,,27
Julian Jeanvier,Auxerre,6.4,1763,1.0,,20(2)
Jeff Reine-Adélaïde,Lyon,6.4,325,,,1(13)
Lassine Sinayoko,Auxerre,6.4,1569,1.0,2.0,16(17)
Pablo Rosario,Nice,6.4,1760,,1.0,17(14)
Adrien Thomasson,Strasbourg,6.39,938,,2.0,10(5)
Julien Ponceau,Lorient,6.39,1663,1.0,4.0,20(11)
Oumar GonzalezAC,Ajaccio,6.39,2579,,,29(1)
Souleyman Doumbia,Angers,6.39,1793,,,21(3)
Cyrille BayalaAC,Ajaccio,6.39,2017,1.0,1.0,25(8)
Akim Zedadka,Lille,6.39,353,1.0,,4(4)
Arbër Zeneli,Reims,6.39,1003,,2.0,12(11)
Billal Brahimi,Nice,6.39,786,3.0,2.0,5(21)
Vincent Sierro,Toulouse,6.39,662,,,7(8)
Sacha Delaye,Montpellier,6.39,17,1.0,,0(3)
