"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Aarón Martín,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,198,543"",Active,D,25,Spain,Mainz,,"
"Ramy Bensebaini,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,198,543"",Active,D,27,Algeria,Monchengladbach,,"
"Maximilian Philipp,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,198,543"",Loan,F,28,Germany,Werder Bremen,,"
"Lukas Nmecha,,""$ 22,061"",""$ 1,147,180"",,""$ 1,147,180"",""$ 1,198,543"",Active,F,24,Germany,Wolfsburg,,"
"Philipp Max,,""$ 21,853"",""$ 1,136,357"",,""$ 1,136,357"",""$ 1,187,236"",Loan,D,29,Germany,Eintracht Frankfurt,,"
"Mitchell Weiser,,""$ 21,853"",""$ 1,136,357"",,""$ 1,136,357"",""$ 1,187,236"",Active,D,28,Germany,Werder Bremen,,"
"Angelo Fulgini,,""$ 21,853"",""$ 1,136,357"",,""$ 1,136,357"",""$ 1,187,236"",Active,F,26,France,Mainz,,"
"Edimilson Fernandes,,""$ 21,853"",""$ 1,136,357"",,""$ 1,136,357"",""$ 1,187,236"",Active,M,26,Switzerland,Mainz,,"
"Marcin Kaminski,,""$ 21,645"",""$ 1,125,535"",,""$ 1,125,535"",""$ 1,175,929"",Active,D,31,Poland,Schalke 04,,"
"Kouadio Koné,,""$ 21,229"",""$ 1,103,890"",,""$ 1,103,890"",""$ 1,153,315"",Active,M,21,France,Monchengladbach,,"
"Hannes Wolf,,""$ 21,229"",""$ 1,103,890"",,""$ 1,103,890"",""$ 1,153,315"",Active,F,23,Austria,Monchengladbach,,"
"Bouna Sarr,,""$ 21,021"",""$ 1,093,067"",,""$ 1,093,067"",""$ 1,142,008"",Active,D,31,Senegal,Bayern Munich,,"
"Ko Itakura,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,130,701"",Active,D,26,Japan,Monchengladbach,,"
"Rani Khedira,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,130,701"",Active,M,29,Germany,Union Berlin,,"
"Josip Stanisic,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,130,701"",Active,D,22,Croatia,Bayern Munich,,"
"Ivan Ordets,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,130,701"",Loan,D,30,Ukraine,Bochum,,"
"Christopher Trimmel,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,130,701"",Active,D,35,Austria,Union Berlin,,"
"Jae-sung Lee,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,130,701"",Active,F,30,South Korea,Mainz,,"
"Dominick Drexler,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,130,701"",Active,F,32,Germany,Schalke 04,,"
"Adam Hlozek,,""$ 20,812"",""$ 1,082,245"",,""$ 1,082,245"",""$ 1,130,701"",Active,F,20,Czech Republic,Bayer Leverkusen,,"
"Mark Uth,,""$ 19,772"",""$ 1,028,133"",,""$ 1,028,133"",""$ 1,074,166"",Active,F,31,Germany,Koln,,"
"Dominik Kohr,,""$ 19,772"",""$ 1,028,133"",,""$ 1,028,133"",""$ 1,074,166"",Active,M,29,Germany,Mainz,,"
"Marvin Ducksch,,""$ 19,772"",""$ 1,028,133"",,""$ 1,028,133"",""$ 1,074,166"",Active,F,28,Germany,Werder Bremen,,"
"Jordan Siebatcheu,,""$ 19,772"",""$ 1,028,133"",,""$ 1,028,133"",""$ 1,074,166"",Active,F,26,United States,Union Berlin,,"
"Ridle Baku,,""$ 19,772"",""$ 1,028,133"",,""$ 1,028,133"",""$ 1,074,166"",Active,D,24,Germany,Wolfsburg,,"
"Almamy Touré,,""$ 19,772"",""$ 1,028,133"",,""$ 1,028,133"",""$ 1,074,166"",Active,D,26,Mali,Eintracht Frankfurt,,"
"Stefan Bell,,""$ 19,772"",""$ 1,028,133"",,""$ 1,028,133"",""$ 1,074,166"",Active,D,31,Germany,Mainz,,"
"Jacob Bruun Larsen,,""$ 19,772"",""$ 1,028,133"",,""$ 1,028,133"",""$ 1,074,166"",Active,F,24,Denmark,Hoffenheim,,"
"Robert Skov,,""$ 19,772"",""$ 1,028,133"",,""$ 1,028,133"",""$ 1,074,166"",Active,M,26,Denmark,Hoffenheim,,"
"Alex Král,,""$ 19,772"",""$ 1,028,133"",,""$ 1,028,133"",""$ 1,074,166"",Loan,M,24,Czech Republic,Schalke 04,,"
"Anthony Caci,,""$ 18,731"",""$ 974,020"",,""$ 974,020"",""$ 1,017,631"",Active,D,25,France,Mainz,,"
