"Player,Unnamed: 1_level_1,Net Fixed P/W (USD),Net Fixed P/Y (USD),Net Bonus P/Y (USD),Net Total P/Y (USD),""Adj. Net Total P/Y (2026, USD)"",Status,Pos. DFKM,Age,Country,Club,Active,Loan"
"Jonathan Tah,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,28,Germany,Bayer Leverkusen,,"
"Moritz Nicolas,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,K,27,Germany,Monchengladbach,,"
"Mattias Svanberg,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,M,26,Sweden,Wolfsburg,,"
"Kevin Stöger,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,F,31,Austria,Monchengladbach,,"
"Ozan Kabak,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Active,D,24,Turkey,Hoffenheim,,"
"Arthur Vermeeren,,""$ 32,629"",""$ 1,696,708"",,""$ 1,696,708"",""$ 1,696,708"",Loan,M,19,Belgium,Leipzig,,"
"Sebastiaan Bornauw,,""$ 32,411"",""$ 1,685,397"",,""$ 1,685,397"",""$ 1,685,397"",Active,D,25,Belgium,Wolfsburg,,"
"Ellyes Skhiri,,""$ 32,194"",""$ 1,674,086"",,""$ 1,674,086"",""$ 1,674,086"",Active,M,29,Tunisia,Eintracht Frankfurt,,"
"Niklas Stark,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,D,29,Germany,Werder Bremen,,"
"Steve Mounié,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,F,30,Benin,Augsburg,,"
"Leonardo Bittencourt,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,M,31,Germany,Werder Bremen,,"
"Danilho Doekhi,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,D,26,Netherlands,Union Berlin,,"
"Jae-sung Lee,,""$ 30,454"",""$ 1,583,595"",,""$ 1,583,595"",""$ 1,583,595"",Active,F,32,South Korea,Mainz,,"
"Lucas Tousart,,""$ 30,019"",""$ 1,560,972"",,""$ 1,560,972"",""$ 1,560,972"",Active,M,27,France,Union Berlin,,"
"Lukas Hradecky,,""$ 30,019"",""$ 1,560,972"",,""$ 1,560,972"",""$ 1,560,972"",Active,K,35,Finland,Bayer Leverkusen,,"
"Giovanni Reyna,,""$ 28,931"",""$ 1,504,415"",,""$ 1,504,415"",""$ 1,504,415"",Active,F,22,United States,Borussia Dortmund,,"
"Stefan Lainer,,""$ 28,931"",""$ 1,504,415"",,""$ 1,504,415"",""$ 1,504,415"",Active,D,32,Austria,Monchengladbach,,"
"Robin Koch,,""$ 28,278"",""$ 1,470,481"",,""$ 1,470,481"",""$ 1,470,481"",Active,D,28,Germany,Eintracht Frankfurt,,"
