Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,20,2004,27,21,1621,18.0,3,4,7,3,0,0,2,0,0.17,0.22,0.39,0.17,0.39,Matches
27,Jim Allevinah,ga GAB,MF,Angers,29,1995,28,23,1750,19.4,1,3,4,1,0,0,3,0,0.05,0.15,0.21,0.05,0.21,Matches
28,Thiago Almada,ar ARG,MF,Lyon,23,2001,16,9,951,10.6,1,4,5,1,0,0,3,0,0.09,0.38,0.47,0.09,0.47,Matches
29,Jordan Amavi,fr FRA,DF,Brest,30,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Kelvin Amian,fr FRA,DF,Nantes,26,1998,30,23,2165,24.1,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches
31,Michael Amir Murillo,pa PAN,DF,Marseille,28,1996,30,27,2437,27.1,1,3,4,1,0,0,3,0,0.04,0.11,0.15,0.04,0.15,Matches
32,Samuel Amo-Ameyaw,eng ENG,MF,Strasbourg,18,2006,9,3,320,3.6,2,0,2,2,0,0,0,0,0.56,0.00,0.56,0.56,0.56,Matches
33,Mathis Amougou,fr FRA,MF,Saint-Étienne,18,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Benjamin André,fr FRA,MF,Lille,33,1990,30,30,2692,29.9,0,3,3,0,0,0,12,0,0.00,0.10,0.10,0.00,0.10,Matches
35,Kyllian Antonio,fr FRA,"MF,DF",Lens,16,2008,3,2,139,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
36,Dennis Appiah,fr FRA,DF,Saint-Étienne,32,1992,29,22,2128,23.6,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches
37,Carlens Arcus,ht HAI,DF,Angers,28,1996,28,25,2047,22.7,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches
38,Marco Asensio,es ESP,"FW,MF",Paris Saint-Germain,28,1996,12,8,618,6.9,2,4,6,2,0,0,0,0,0.29,0.58,0.87,0.29,0.87,Matches
39,Lorenz Assignon,tg TOG,"MF,DF",Rennes,24,2000,32,27,2357,26.2,3,4,7,3,0,0,9,0,0.11,0.15,0.27,0.11,0.27,Matches
40,Dehmaine Assoumani,fr FRA,FW,Nantes,19,2005,12,0,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Valentin Atangana Edoa,fr FRA,MF,Reims,18,2005,34,33,2854,31.7,1,0,1,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,Matches
42,Florian Ayé,fr FRA,FW,Auxerre,27,1997,26,4,575,6.4,2,0,2,2,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches
43,André Ayew,gh GHA,FW,Le Havre,34,1989,27,15,1453,16.1,4,1,5,4,0,0,2,0,0.25,0.06,0.31,0.25,0.31,Matches
44,Neil El Aynaoui,ma MAR,MF,Lens,23,2001,24,17,1588,17.6,8,1,9,5,3,3,4,0,0.45,0.06,0.51,0.28,0.34,Matches
45,Shavy Babicka,ga GAB,MF,Toulouse,24,2000,30,11,1186,13.2,4,2,6,4,0,0,2,0,0.30,0.15,0.46,0.30,0.46,Matches
46,Theo Bair,ca CAN,FW,Auxerre,24,1999,29,11,939,10.4,2,1,3,2,0,0,1,0,0.19,0.10,0.29,0.19,0.29,Matches
47,Mitchel Bakker,nl NED,"MF,DF",Lille,24,2000,24,14,1139,12.7,3,2,5,3,0,0,3,1,0.24,0.16,0.40,0.24,0.40,Matches
